Team_Id,Team_Name,,KENPOMM,Team_Name,,,,,,,
1282,Missouri KC,,1282,UMKC,,,,,,,
1283,Missouri St,,1283,Southwest Missouri St. ,,,,,,,
1284,Monmouth NJ,,1284,Monmouth,,,,,,,
1285,Montana,,1285,Montana,,,,,,,
1286,Montana St,,1286,Montana St,,,,,,,
1287,Morehead St,,1287,Morehead St,,,,,,,
1288,Morgan St,,1288,Morgan St,,,,,,,
1289,Morris Brown,,1289,Morris Brown,,,,,,,
1290,MS Valley St,,1290,Mississippi Valley St,,,,,,,
1291,Mt St Mary's,,1291,Mount St. Mary's,,,,,,,
1292,MTSU,,1292,Middle Tennessee St. ,,,,,,,
1293,Murray St,,1293,Murray St,,,,,,,
1294,N Colorado,,1294,Northern Colorado,,,,,,,
1295,N Dakota St,,1295,North Dakota St,,,,,,,
1296,N Illinois,,1296,Northern Illinois,,,,,,,
1297,N Kentucky,,1297,Northern Kentucky,,,,,,,
1298,Navy,,1298,Navy,,,,,,,
1299,NC A&T,,1299,North Carolina A&T,,,,,,,
1300,NC Central,,1300,North Carolina Central,,,,,,,
1301,NC State,,1301,North Carolina St,,,,,,,
1302,NE Illinois,,1302,NE Illinois,,,,,,,
1303,NE Omaha,,1303,Nebraska Omaha,,,,,,,
1304,Nebraska,,1304,Nebraska,,,,,,,
1305,Nevada,,1305,Nevada,,,,,,,
1306,New Hampshire,,1306,New Hampshire,,,,,,,
1307,New Mexico,,1307,New Mexico,,,,,,,
1308,New Mexico St,,1308,New Mexico St,,,,,,,
1309,New Orleans,,1309,New Orleans,,,,,,,
1310,Niagara,,1310,Niagara,,,,,,,
1311,Nicholls St,,1311,Nicholls St,,,,,,,
1312,NJIT,,1312,NJIT,,,,,,,
1313,Norfolk St,,1313,Norfolk St,,,,,,,
1314,North Carolina,,1314,North Carolina,,,,,,,
1315,North Dakota,,1315,North Dakota,,,,,,,
1316,North Florida,,1316,North Florida,,,,,,,
1317,North Texas,,1317,North Texas,,,,,,,
1318,Northeastern,,1318,Northeastern,,,,,,,
1319,Northern Arizona,,1319,Northern Arizona,,,,,,,
1320,Northern Iowa,,1320,Northern Iowa,,,,,,,
1321,Northwestern,,1321,Northwestern,,,,,,,
1322,Northwestern LA,,1322,Northwestern St.,,,,,,,
1323,Notre Dame,,1323,Notre Dame,,,,,,,
1324,Oakland,,1324,Oakland,,,,,,,
1325,Ohio,,1325,Ohio,,,,,,,
1326,Ohio St,,1326,Ohio St,,,,,,,
1327,Okla City,,1327,Okla City,,,,,,,
1328,Oklahoma,,1328,Oklahoma,,,,,,,
1329,Oklahoma St,,1329,Oklahoma St,,,,,,,
1330,Old Dominion,,1330,Old Dominion,,,,,,,
1331,Oral Roberts,,1331,Oral Roberts,,,,,,,
1332,Oregon,,1332,Oregon,,,,,,,
1333,Oregon St,,1333,Oregon St,,,,,,,
1334,Pacific,,1334,Pacific,,,,,,,
1335,Penn,,1335,Penn,,,,,,,
1336,Penn St,,1336,Penn St,,,,,,,
1337,Pepperdine,,1337,Pepperdine,,,,,,,
1338,Pittsburgh,,1338,Pittsburgh,,,,,,,
1339,Portland,,1339,Portland,,,,,,,
1340,Portland St,,1340,Portland St,,,,,,,
1341,Prairie View,,1341,Prairie View A&M,,,,,,,
1342,Presbyterian,,1342,Presbyterian,,,,,,,
1343,Princeton,,1343,Princeton,,,,,,,
1344,Providence,,1344,Providence,,,,,,,
1345,Purdue,,1345,Purdue,,,,,,,
1346,Quinnipiac,,1346,Quinnipiac,,,,,,,
1347,Radford,,1347,Radford,,,,,,,
1348,Rhode Island,,1348,Rhode Island,,,,,,,
1349,Rice,,1349,Rice,,,,,,,
1350,Richmond,,1350,Richmond,,,,,,,
1351,Rider,,1351,Rider,,,,,,,
1352,Robert Morris,,1352,Robert Morris,,,,,,,
1353,Rutgers,,1353,Rutgers,,,,,,,
1354,S Carolina St,,1354,South Carolina St,,,,,,,
1355,S Dakota St,,1355,South Dakota St,,,,,,,
1356,S Illinois,,1356,Southern Illinois,,,,,,,
1357,Sacred Heart,,1357,Sacred Heart,,,,,,,
1358,Sam Houston St,,1358,Sam Houston St,,,,,,,
1359,Samford,,1359,Samford,,,,,,,
1360,San Diego,,1360,San Diego,,,,,,,
1361,San Diego St,,1361,San Diego St,,,,,,,
1362,San Francisco,,1362,San Francisco,,,,,,,
1363,San Jose St,,1363,San Jose St,,,,,,,
1364,Santa Barbara,,1364,UC Santa Barbara,,,,,,,
1365,Santa Clara,,1365,Santa Clara,,,,,,,
1366,Savannah St,,1366,Savannah St,,,,,,,
1367,SC Upstate,,1367,USC Upstate,,,,,,,
1368,SE Louisiana,,1368,Southeastern Louisiana,,,,,,,
1369,SE Missouri St,,1369,Southeast Missouri St.,,,,,,,
1370,Seattle,,1370,Seattle,,,,,,,
1371,Seton Hall,,1371,Seton Hall,,,,,,,
1372,SF Austin,,1372,Stephen F. Austin,,,,,,,
1373,Siena,,1373,Siena,,,,,,,
1374,SMU,,1374,SMU,,,,,,,
1375,South Alabama,,1375,South Alabama,,,,,,,
1376,South Carolina,,1376,South Carolina,,,,,,,
1377,South Dakota,,1377,South Dakota,,,,,,,
1378,South Florida,,1378,South Florida,,,,,,,
1379,Southern Miss,,1379,Southern Miss,,,,,,,
1380,Southern Univ,,1380,Southern,,,,,,,
1381,Southern Utah,,1381,Southern Utah,,,,,,,
1382,St Bonaventure,,1382,St. Bonaventure,,,,,,,
1383,St Francis NY,,1383,St. Francis NY,,,,,,,
1384,St Francis PA,,1384,St. Francis PA,,,,,,,
1385,St John's,,1385,St. John's,,,,,,,
1386,St Joseph's PA,,1386,Saint Joseph's,,,,,,,
1387,St Louis,,1387,Saint Louis,,,,,,,
1388,St Mary's CA,,1388,Saint Mary's,,,,,,,
1389,St Peter's,,1389,Saint Peter's,,,,,,,
1390,Stanford,,1390,Stanford,,,,,,,
1391,Stetson,,1391,Stetson,,,,,,,
1392,Stony Brook,,1392,Stony Brook,,,,,,,
1393,Syracuse,,1393,Syracuse,,,,,,,
1394,TAM C. Christi,,1394,Texas A&M Corpus Chris,,,,,,,
1395,TCU,,1395,TCU,,,,,,,
1396,Temple,,1396,Temple,,,,,,,
1397,Tennessee,,1397,Tennessee,,,,,,,
1398,Tennessee St,,1398,Tennessee St,,,,,,,
1399,Tennessee Tech,,1399,Tennessee Tech,,,,,,,
1400,Texas,,1400,Texas,,,,,,,
1401,Texas A&M,,1401,Texas A&M,,,,,,,
1402,Texas St,,1402,Southwest Texas St.,,,,,,,
1403,Texas Tech,,1403,Texas Tech,,,,,,,
1404,TN Martin,,1404,Tennessee Martin,,,,,,,
1405,Toledo,,1405,Toledo,,,,,,,
1406,Towson,,1406,Towson,,,,,,,
1407,Troy,,1407,Troy St.,,,,,,,
1408,Tulane,,1408,Tulane,,,,,,,
1409,Tulsa,,1409,Tulsa,,,,,,,
1410,UTRGV,,1410,Texas Pan American ,,,,,,,
1411,TX Southern,,1411,Texas Southern,,,,,,,
1412,UAB,,1412,UAB,,,,,,,
1413,UC Davis,,1413,UC Davis,,,,,,,
1414,UC Irvine,,1414,UC Irvine,,,,,,,
1415,UC Riverside,,1415,UC Riverside,,,,,,,
1416,UCF,,1416,UCF,,,,,,,
1417,UCLA,,1417,UCLA,,,,,,,
1418,ULL,,1418,Louisiana Lafayette,,,,,,,
1419,ULM,,1419,Louisiana Monroe,,,,,,,
1420,UMBC,,1420,UMBC,,,,,,,
1421,UNC Asheville,,1421,UNC Asheville,,,,,,,
1422,UNC Greensboro,,1422,UNC Greensboro,,,,,,,
1423,UNC Wilmington,,1423,UNC Wilmington,,,,,,,
1424,UNLV,,1424,UNLV,,,,,,,
1425,USC,,1425,USC,,,,,,,
1426,UT Arlington,,1426,UT Arlington,,,,,,,
1427,UT San Antonio,,1427,UTSA,,,,,,,
1428,Utah,,1428,Utah,,,,,,,
1429,Utah St,,1429,Utah St,,,,,,,
1430,Utah Valley,,1430,Utah Valley,,,,,,,
1431,UTEP,,1431,UTEP,,,,,,,
1432,Utica,,1432,Utica,,,,,,,
1433,VA Commonwealth,,1433,VCU,,,,,,,
1434,Valparaiso,,1434,Valparaiso,,,,,,,
1435,Vanderbilt,,1435,Vanderbilt,,,,,,,
1436,Vermont,,1436,Vermont,,,,,,,
1437,Villanova,,1437,Villanova,,,,,,,
1438,Virginia,,1438,Virginia,,,,,,,
1439,Virginia Tech,,1439,Virginia Tech,,,,,,,
1440,VMI,,1440,VMI,,,,,,,
1441,W Carolina,,1441,Western Carolina,,,,,,,
1442,W Illinois,,1442,Western Illinois,,,,,,,
1443,WKU,,1443,Western Kentucky,,,,,,,
1444,W Michigan,,1444,Western Michigan,,,,,,,
1445,W Salem St,,1445,Winston Salem St.,,,,,,,
1446,W Texas A&M,,1446,W Texas A&M,,,,,,,
1447,Wagner,,1447,Wagner,,,,,,,
1448,Wake Forest,,1448,Wake Forest,,,,,,,
1449,Washington,,1449,Washington,,,,,,,
1450,Washington St,,1450,Washington St,,,,,,,
1451,Weber St,,1451,Weber St,,,,,,,
1452,West Virginia,,1452,West Virginia,,,,,,,
1453,WI Green Bay,,1453,Green Bay,,,,,,,
1454,WI Milwaukee,,1454,Milwaukee,,,,,,,
1455,Wichita St,,1455,Wichita St,,,,,,,
1456,William & Mary,,1456,William & Mary,,,,,,,
1457,Winthrop,,1457,Winthrop,,,,,,,
1458,Wisconsin,,1458,Wisconsin,,,,,,,
1459,Wofford,,1459,Wofford,,,,,,,
1460,Wright St,,1460,Wright St,,,,,,,
1461,Wyoming,,1461,Wyoming,,,,,,,
1462,Xavier,,1462,Xavier,,,,,,,
1463,Yale,,1463,Yale,,,,,,,
1464,Youngstown St,,1464,Youngstown St,,,,,,,
,,,1283,Missouri St. ,,,,,,,
,,,1292,Middle Tennessee,,,,,,,
,,,1244,Kennesaw St.,,,,,,,
,,,1407,Troy,,,,,,,
,,,1402,Texas St.,,,,,,,
,,,1114,Little Rock,,,,,,,
,,,1410,UT Rio Grande Valley ,,,,,,,
,,,1236,IPFW,,,,,,,
,,,1430,Utah Valley St.,,,,,,,
,,,1195,FGCU,,,,,,,
,,,1443,Western Ky.,,,,,,,
,,,1372,SFA,,,,,,,
,,,1297,Northern Ky.,,,,,,,
,,,1190,ETSU,,,,,,,
,,,1384,Saint Francis (PA),,,,,,,
,,,1301,NC State,,,,,,,
,,,1425,Southern California,,,,,,,
,,,1388,Saint Mary's (CA),,,,,,,
