Rank,Team,Conf,W-L,AdjEM,AdjO,,AdjD,,AdjT,,Luck,,SOS,,OppO,,OppD,,AdjEM,
26,1173,A10,25-12,18.92,108.1,86,89.1,9,65.5,195,-0.097,340,6.43,64,105.8,71,99.3,53,3.5,74
27,1320,MVC,30-5,18.87,109.6,67,90.8,13,58.9,340,0.034,85,4.08,92,105.7,73,101.6,115,-1.58,200
28,1338,BE,25-9,18.66,111.4,47,92.8,28,61.3,319,0.041,76,7.87,50,107.7,23,99.8,66,-2.76,233
29,1388,WCC,28-6,18.59,116.5,14,97.9,85,66.2,158,0.038,82,2.72,115,105.4,81,102.7,166,1.18,123
30,1397,SEC,28-9,18.5,108.9,75,90.4,11,67.5,91,0.082,20,8.67,34,107.4,32,98.7,35,-0.48,160
31,1210,ACC,23-13,18.22,109.2,71,91,15,68.2,67,-0.034,262,10.94,7,107.4,31,96.4,2,-2.46,229
32,1449,P10,26-10,18.19,111.7,44,93.6,33,71.7,10,0.029,94,6.97,57,106.7,44,99.7,62,1.13,126
33,1199,ACC,22-10,18.02,105,145,87,2,65.3,208,0.009,142,9.01,26,107.3,34,98.3,21,-2.88,241
34,1278,B10,21-14,17.97,112,41,94.1,41,65.6,190,-0.055,302,8.37,40,107.7,24,99.3,52,-3.72,261
35,1323,BE,23-12,17.71,119.4,4,101.7,153,62.4,302,-0.068,320,6.28,66,106.5,51,100.2,84,-9.08,341
36,1435,SEC,24-9,17.54,113.7,25,96.2,64,68.7,56,0.019,115,8.14,45,107.1,37,99,47,1.5,117
37,1330,CAA,27-9,17.51,107.8,90,90.3,10,62.6,295,0.009,141,3.17,108,105,90,101.9,127,6.16,44
38,1257,BE,20-13,16.91,114.5,23,97.6,78,66.3,151,-0.038,271,8.87,29,107.8,20,99,46,-1.62,203
39,1329,B12,22-11,16.72,112.2,40,95.4,54,66.2,159,0.011,136,8.47,38,107.2,36,98.7,36,-4.33,274
40,1361,MWC,25-9,16.58,111.4,48,94.9,51,63.1,284,0.006,155,5.4,76,105.3,84,99.9,69,2.24,99
41,1424,MWC,25-9,16.56,110.6,55,94,40,66.3,156,-0.013,205,4.08,91,104.8,104,100.7,93,0.67,135
42,1431,CUSA,26-7,16.53,107.7,95,91.2,16,67.9,76,0.024,104,2.62,120,104.1,129,101.5,112,-4.26,270
43,1307,MWC,30-5,16.18,113.6,26,97.4,74,67.4,98,0.096,13,4.09,90,105,92,100.9,96,1.85,109
44,1211,WCC,27-7,16.14,112.3,38,96.1,63,67.5,95,0.079,23,3.42,104,105.5,79,102.1,137,4.43,61
45,1280,SEC,24-12,15.98,109.7,66,93.7,34,66.5,141,-0.049,297,5.51,74,105.5,77,100,75,-2.76,234
46,1165,Ivy,29-5,15.92,117.4,9,101.5,149,63.9,261,0.068,36,-0.66,173,101.2,218,101.9,130,4.12,65
47,1439,ACC,25-9,15.86,108.3,84,92.4,24,67.8,80,0.034,86,5.72,69,105.8,70,100.1,78,-8.51,336
48,1279,SEC,24-11,15.77,112.9,32,97.2,70,68.7,55,-0.034,261,5.66,71,105.6,75,100,71,-2.73,232
49,1272,CUSA,24-10,15.24,115.3,19,100.1,118,65.2,211,-0.038,273,1.87,134,103.8,139,102,135,-4.79,283
50,1196,SEC,21-13,15.23,113,31,97.8,83,63.9,262,-0.061,309,7.75,51,106.6,48,98.8,42,-1.96,216
51,1163,BE,18-16,15.19,107.7,96,92.5,25,67.5,94,-0.078,329,10.27,10,108.5,9,98.2,20,2.59,92
52,1113,P10,22-11,15.18,110,61,94.8,50,61,326,-0.013,201,4.11,89,104.1,131,100,72,-3.16,252
53,1293,OVC,31-5,15.06,109,74,94,36,65.6,192,-0.011,200,-5.78,272,100.2,252,106,311,-5.24,288
54,1350,A10,26-9,15.01,108.8,77,93.8,35,62.5,301,0.047,64,5.7,70,105.4,80,99.7,63,2.39,95
55,1274,ACC,20-13,14.79,112.2,39,97.4,75,65.3,204,-0.069,321,6.02,68,104.3,120,98.3,23,-11.44,346
56,1433,CAA,27-9,14.39,113.2,28,98.8,98,68.2,69,-0.016,221,0.84,151,102.5,175,101.7,118,-0.39,157
57,1228,B10,21-15,14.38,109.2,73,94.8,49,66.6,136,-0.029,249,9.09,22,107.5,27,98.4,24,2.01,103
58,1448,ACC,20-11,14.12,107.1,106,93,29,68.7,58,0.067,39,10.51,9,107.4,28,96.9,3,-0.82,165
59,1373,MAAC,27-7,13.86,109.4,69,95.5,56,69.2,43,0.027,99,-0.51,170,100.9,228,101.4,108,3.22,80
60,1348,A10,26-10,13.54,112.6,36,99.1,101,67.6,86,0.033,87,4.83,81,105,89,100.2,81,2.98,82
61,1314,ACC,20-17,13.39,107.4,102,94,38,70.4,23,-0.013,206,11.36,6,108.4,11,97.1,4,0.18,139
62,1412,CUSA,25-9,12.73,104.6,148,91.8,22,64.1,257,0.017,119,3.09,109,104,134,100.9,95,0.4,136
63,1104,SEC,17-15,12.55,107.9,88,95.3,53,64.2,247,-0.099,341,6.75,61,106.5,49,99.8,64,-0.93,172
64,1455,MVC,25-10,12.26,108.9,76,96.6,69,64.5,238,0.002,165,2.06,130,104.2,123,102.2,142,-6.8,313
65,1460,Horz,20-12,12.1,108.6,80,96.5,68,61.8,313,-0.047,294,1.93,132,104.1,130,102.2,141,1.97,105
66,1371,BE,19-13,12.05,112.7,35,100.7,128,69.5,34,-0.009,193,7.65,52,107.6,25,99.9,70,-9.28,342
67,1385,BE,17-16,11.97,106.5,115,94.5,46,64.2,249,-0.032,257,9.38,19,108.5,8,99.1,48,-1.66,207
68,1153,BE,19-16,11.92,106.3,120,94.4,44,65.3,206,-0.013,207,9.77,14,108.3,14,98.5,30,-1.16,185
69,1301,ACC,20-16,11.49,106.1,125,94.6,48,64.5,240,-0.007,188,8.66,35,106.4,58,97.7,13,-5.32,292
70,1276,B10,15-17,11.48,107.4,101,95.9,58,61.8,314,-0.079,331,9.27,21,107.7,22,98.4,25,2.62,90
71,1318,CAA,20-13,11.32,106.5,113,95.2,52,60.3,333,-0.057,304,3.89,97,105,88,101.1,101,7.58,26
72,1403,B12,19-16,11.14,108.8,78,97.6,80,70.7,19,0.026,101,10.08,11,108.8,5,98.8,38,-1.93,214
73,1235,B12,15-17,11.09,107.2,105,96.1,61,67.5,93,-0.081,333,9.52,17,108.8,6,99.3,50,-3.7,260
74,1130,ACC,15-16,10.87,110.7,51,99.8,114,64.1,256,-0.086,337,8.22,43,105.6,74,97.4,5,-5.29,290
75,1283,MVC,24-12,10.85,111.8,43,100.9,134,64.5,241,-0.05,298,1.07,148,103.3,154,102.3,147,-4.44,279
76,1438,ACC,15-16,10.76,108,87,97.2,71,61.7,316,-0.067,318,8.38,39,106.3,63,97.9,17,-5.39,295
77,1425,P10,16-14,10.63,96.7,267,86.1,1,62.2,307,-0.043,283,6.53,63,106.7,47,100.2,79,1.54,113
78,1378,BE,20-13,10.52,107.8,92,97.3,72,63.6,270,0.061,42,7.33,54,107.4,30,100.1,77,-2.58,230
79,1339,WCC,21-11,10.28,110.6,54,100.4,122,63.1,283,0.02,114,2.15,128,104.9,95,102.8,167,2.98,84
80,1305,WAC,21-13,10.2,112.8,34,102.6,169,68.7,54,-0.03,253,4.33,86,106.8,43,102.4,153,6,45
81,1267,CUSA,24-10,10.18,110.1,59,99.9,115,68.5,65,0.022,109,1.63,139,103.5,149,101.8,124,-1.18,188
82,1459,SC,26-9,10.12,104.6,147,94.4,45,63.5,273,-0.023,242,-1.55,193,102.2,183,103.8,203,4.23,63
83,1409,CUSA,23-12,9.87,107.6,97,97.7,82,66,172,0.023,105,2.99,110,104.8,105,101.8,122,-1.56,199
84,1321,B10,20-14,9.77,113,30,103.2,180,62.8,294,0.002,167,5.19,77,104.8,101,99.6,60,-9.74,344
85,1376,SEC,15-16,9.06,106.5,114,97.4,77,68.7,57,-0.037,270,8.69,32,107.4,29,98.8,39,1.22,122
86,1245,MAC,24-10,8.84,106.6,111,97.8,84,66.8,128,0.071,31,2.1,129,103.4,150,101.3,107,3.99,67
87,1112,P10,16-15,8.83,108.4,83,99.5,108,67.6,88,0.027,98,8.32,41,107.1,38,98.8,41,6.93,32
88,1222,CUSA,19-16,8.79,112,42,103.2,179,71.1,14,-0.083,335,3.76,100,105,93,101.2,104,0.68,134
89,1229,MVC,22-11,8.77,107.5,100,98.7,96,64.6,234,0.023,106,1.25,143,103.2,160,102,134,-8.5,335
90,1344,BE,19-Dec,8.7,116,17,107.3,266,73.3,5,-0.111,345,9.6,15,108.3,15,98.7,34,-2.05,219
91,1208,SEC,14-17,8.68,109.8,64,101.1,137,64.1,252,-0.021,236,9.32,20,106.8,42,97.5,9,1.89,108
92,1160,B12,15-16,8.63,113.1,29,104.5,211,67,118,-0.036,268,9.38,18,107,40,97.6,12,-3.9,265
93,1304,B12,15-18,8.28,107,107,98.7,97,62.8,293,-0.067,317,8.03,47,106.3,62,98.3,22,-8.83,339
94,1325,MAC,22-15,8.25,107.3,103,99,100,68.8,50,-0.068,319,0.76,155,103.1,163,102.3,152,-0.9,170
95,1285,BSky,22-10,8.08,106.5,116,98.4,92,62,312,-0.042,278,-2.21,205,103.4,153,105.6,289,-0.86,168
96,1150,A10,19-12,7.91,108.7,79,100.8,130,67.1,110,0.068,38,3.85,99,103.7,142,99.8,65,-0.61,162
97,1334,BW,23-12,7.84,106.2,124,98.3,91,60.2,334,0.011,137,-0.53,171,103.3,159,103.8,204,1.48,118
98,1387,A10,23-13,7.72,100.1,211,92.4,23,62.4,304,0.039,81,3.2,106,104.5,115,101.3,105,-4.13,267
99,1379,CUSA,20-14,7.6,103.7,158,96.1,60,61,327,-0.051,300,2.64,119,103.4,151,100.8,94,-3.1,250
100,1358,Slnd,25-8,7.42,110.2,57,102.7,172,69.3,37,0.052,54,-3.33,230,101.3,216,104.6,244,4.67,56
101,1336,B10,20-Nov,7.04,107.9,89,100.8,131,62.2,306,-0.14,346,7.55,53,106.3,59,98.8,40,-8.17,333
102,1287,OVC,24-11,7,105.1,143,98.1,88,64.7,227,-0.017,226,-4.33,248,101.3,214,105.6,291,1.84,110
103,1120,SEC,15-17,6.98,109.9,63,102.9,174,69,45,-0.075,327,5.52,73,105.5,78,100,73,-3.37,254
104,1328,B12,13-18,6.98,110.2,56,103.2,181,65.3,205,-0.037,269,9.92,13,108.4,12,98.5,28,-1.19,189
105,1451,BSky,20-11,6.96,109.2,72,102.2,163,67.7,85,-0.013,203,-0.16,164,103.9,136,104.1,219,7.28,29
106,1390,P10,14-18,6.75,106.5,117,99.7,113,66.3,152,-0.047,293,6.91,58,106.5,54,99.6,59,0.15,142
107,1456,CAA,22-11,6.58,110,60,103.4,185,60.2,335,0.116,7,4.28,87,103.7,140,99.4,54,7.35,28
108,1237,Sum,25-11,6.34,108.5,81,102.2,161,64.7,225,0.014,126,-2.81,224,101.4,212,104.2,223,6.88,34
109,1111,SC,24-13,6.18,110.1,58,104,202,65.3,207,0.012,131,-1.96,202,101.7,199,103.7,196,2.75,87
110,1233,MAAC,21-10,6.11,100.1,209,94,39,64.7,230,0.04,77,-0.81,178,101.8,195,102.6,158,0.37,137
111,1217,Ivy,21-8,6.06,107.5,99,101.4,145,67,119,0.051,56,-4.12,243,99.5,272,103.6,193,0.21,138
112,1308,WAC,22-12,6.03,111.6,45,105.5,231,70.3,24,0.122,5,4.03,94,105.8,72,101.7,120,2.09,102
113,1256,WAC,24-11,5.99,105.4,139,99.4,103,67.6,89,0.109,9,1.15,145,104.9,94,103.8,206,-3.87,262
114,1133,MVC,16-15,5.69,106.3,119,100.6,125,64.9,222,0.016,121,4.53,84,105.6,76,101.1,100,0.99,129
115,1450,P10,16-15,5.67,108.2,85,102.5,167,66.1,165,-0.021,235,4.44,85,104.8,106,100.3,87,-6.16,308
116,1166,MVC,18-16,5.56,107.8,94,102.2,162,65.5,198,-0.014,213,3.19,107,104.7,110,101.5,111,-0.98,177
117,1417,P10,14-18,5.48,106.4,118,100.9,133,64.3,246,-0.016,220,7.01,56,106.5,55,99.4,55,1.15,124
118,1193,MAAC,23-11,5.36,106.7,110,101.3,144,65.7,187,0.045,68,-1.59,194,100.7,235,102.3,149,-7.06,315
119,1116,SEC,14-18,5.3,105.9,129,100.6,124,69.7,31,-0.075,326,5.5,75,105.9,69,100.3,88,-2.77,236
120,1343,Ivy,22-9,5.29,98.6,236,93.3,32,58.7,343,0.008,150,-5.24,261,99.4,276,104.6,246,-4.42,277
121,1103,MAC,24-11,5.2,105.3,141,100.1,116,65.1,214,0.047,65,-1.52,190,102.2,185,103.7,197,-4.29,272
122,1203,A10,16-15,5.15,103.4,162,98.3,89,67,115,-0.044,284,2.48,125,103.9,135,101.5,110,-4.3,273
123,1356,MVC,15-15,5.14,106.1,127,101,135,66.2,160,-0.086,336,1.79,137,103.7,141,101.9,131,-5.92,302
124,1428,MWC,14-17,4.86,102.9,170,98,87,64.8,224,-0.063,311,4.05,93,105.4,82,101.3,106,-0.37,156
125,1294,BSky,25-8,4.82,105.5,138,100.7,127,66.8,127,0.025,102,-4.94,255,101.9,193,106.8,331,-7.64,323
126,1178,Horz,20-14,4.58,101,196,96.4,66,67.5,92,-0.009,195,-0.68,174,103.1,165,103.7,199,-6.43,310
127,1443,SB,21-13,4.39,105.9,128,101.5,150,64.5,237,-0.019,232,-2.84,225,101.4,211,104.2,226,4.17,64
128,1310,MAAC,18-15,4.06,105.7,132,101.6,152,68,73,-0.062,310,-0.51,169,101.2,220,101.7,117,-0.54,161
129,1332,P10,16-16,3.99,105.8,131,101.8,155,65.7,188,0.009,147,5.1,78,105.3,83,100.2,83,-5.66,299
130,1454,Horz,20-14,3.89,105.5,136,101.6,151,66.3,154,0.032,90,1.07,147,103.5,147,102.5,154,-0.14,151
131,1220,CAA,19-15,3.77,101.1,194,97.4,73,69.2,41,-0.001,175,0,162,102.6,174,102.6,160,-0.84,167
132,1125,ASun,19-12,3.67,103.3,166,99.6,110,68.8,52,-0.013,208,-3.95,241,100.6,241,104.5,239,3.56,73
133,1131,AE,21-14,3.51,103.8,155,100.3,120,69.8,28,0.008,149,-2.66,219,100.3,250,102.9,174,4.04,66
134,1382,A10,15-16,3.5,106.2,123,102.7,171,66.6,135,-0.018,227,3.57,103,103.6,144,100,74,1.02,127
135,1324,Sum,26-9,3.19,107.5,98,104.3,209,69.5,33,0.173,1,-2.75,221,101.6,205,104.4,232,10.65,5
136,1436,AE,25-10,3.08,104.1,151,101,136,66.1,167,0.068,35,-6.32,284,98.8,287,105.1,261,-3.11,251
137,1444,MAC,18-15,3.07,106.7,108,103.7,194,65.9,179,-0.03,251,-0.27,166,101.8,194,102.1,138,4.45,59
138,1232,MVC,17-15,3.02,104.5,149,101.5,148,64.2,250,0.068,34,3.93,95,104.6,113,100.7,91,-0.41,158
139,1453,Horz,22-13,3,106.7,109,103.7,195,63.4,278,0.088,16,0.98,150,103.2,162,102.2,144,-1.09,183
140,1331,Sum,20-13,2.84,102.3,180,99.4,104,65.6,194,0.004,158,-2.55,217,102,189,104.5,241,7.58,27
141,1161,MWC,16-16,2.83,101.5,188,98.7,95,66,171,0.02,113,3.67,101,104.9,97,101.2,103,-2.08,220
142,1182,A10,16-16,2.82,102.5,176,99.7,111,69.6,32,0.027,100,4.26,88,103.9,137,99.7,61,-1.64,206
143,1275,MAC,14-18,2.79,103.9,152,101.1,138,59.7,337,-0.028,247,3.57,102,104.5,114,101,98,8.08,23
144,1239,ASun,20-13,2.75,102.2,183,99.5,106,68,71,0.043,71,-2.07,203,101.2,217,103.3,183,6.53,39
145,1180,CAA,16-16,2.74,100.5,205,97.7,81,63.6,269,0.001,169,1.82,135,104.3,122,102.5,156,3.67,71
146,1225,WAC,15-16,2.67,105.6,133,102.9,175,64.9,221,-0.045,288,1.97,131,104.8,102,102.8,172,-1.18,186
147,1333,P10,14-18,2.54,99,233,96.4,67,61.3,320,-0.018,228,4.78,82,104.8,100,100.1,76,-4.18,268
148,1157,BSth,28-7,2.51,101.8,185,99.3,102,63.1,281,0.022,108,-12.29,340,95.7,332,108,346,-8.03,331
149,1374,CUSA,14-17,2.49,106.1,126,103.6,190,60.8,329,-0.107,342,1.04,149,102.9,168,101.8,125,-6.06,305
150,1190,ASun,20-15,2.47,100.9,199,98.4,93,66.8,125,-0.004,179,-1.26,186,102.1,187,103.3,185,8.97,13
151,1158,SC,22-12,2.3,109.4,68,107.1,257,68.6,61,0.1,11,-1.36,189,102,190,103.3,184,2.6,91
152,1156,Horz,16-17,2.16,105.9,130,103.7,197,64.5,242,-0.01,198,2.99,111,104.7,111,101.7,116,7.65,25
153,1364,BW,20-10,2.11,100,212,97.9,86,66.3,150,0.125,3,-1,182,102.8,170,103.8,202,3.46,77
154,1253,BW,17-16,2,100.6,201,98.6,94,69.3,39,0.033,88,2.82,113,105.1,85,102.3,148,15.55,2
155,1441,SC,22-12,1.76,105.3,140,103.6,187,69.2,42,0.056,47,-2.35,209,101.7,197,104.1,218,3.45,78
156,1288,MEAC,27-10,1.58,105.5,135,104,203,68.6,62,0.078,24,-7.71,302,98.2,300,105.9,301,0.13,143
157,1372,Slnd,23-9,1.47,103,169,101.5,147,58.7,342,0.043,73,-7.8,304,98.5,295,106.3,318,-7.74,327
158,1138,MAC,18-12,1.47,106.6,112,105.1,226,68.2,68,0.065,41,-0.92,181,101.2,219,102.1,139,-0.72,164
159,1353,BE,15-17,1.37,103.4,163,102,158,67.5,96,0.071,32,6.89,59,106.2,65,99.3,51,-7.67,325
160,1247,A10,18-Dec,1.18,106.2,121,105.1,224,67.3,102,-0.015,215,3.91,96,104.5,117,100.6,90,-0.03,149
161,1129,WAC,15-17,0.94,102.2,182,101.3,142,69.5,35,-0.064,313,-0.68,175,104.7,108,105.4,281,-7.53,322
162,1206,CAA,17-15,0.91,102.8,171,101.9,156,64.6,233,0.049,60,0.72,156,102.7,173,101.9,133,-1.22,192
163,1144,ASun,19-11,0.85,100.5,202,99.7,112,64.2,251,0.002,164,-5.22,260,99.9,260,105.1,259,-1.95,215
164,1292,SB,19-14,0.65,101.4,189,100.7,129,64.7,231,-0.044,286,-4.83,254,100.6,239,105.4,280,-1.97,217
165,1201,WAC,15-18,0.58,100.1,210,99.5,109,65.4,199,-0.032,258,1.36,141,104.4,118,103,177,-1.61,202
166,1416,CUSA,15-17,0.33,102.6,173,102.3,164,63.4,279,0.009,146,2.52,123,104.5,116,102,136,-1.43,197
167,1269,A10,20-Dec,0.12,102.7,172,102.6,168,68.6,63,0.004,159,6.34,65,106.5,52,100.2,80,4.61,58
168,1258,WCC,18-16,-0.01,108.4,82,108.4,281,69,46,0.041,75,-0.34,167,102.5,177,102.8,171,-2.12,221
169,1179,MVC,14-19,-0.01,107.2,104,107.2,265,63,287,0.012,132,2.43,126,104.2,128,101.8,121,-4.71,280
170,1177,BE,23-Aug,-0.08,100,213,100.1,119,61.8,315,-0.038,275,8.58,37,107.3,33,98.7,37,-3.01,248
171,1394,Slnd,17-15,-0.09,99.4,226,99.5,105,64.7,228,-0.035,263,-2.37,210,101.3,215,103.7,195,6.29,41
172,1252,ASun,17-13,-0.12,109.3,70,109.4,292,69.3,38,-0.033,260,-5.8,274,99,283,104.8,251,0.06,145
173,1386,A10,20-Nov,-0.17,102.6,174,102.7,173,68.7,60,0.016,122,6.55,62,106,67,99.5,56,4.66,57
174,1234,B10,22-Oct,-0.36,103.4,165,103.7,196,61.2,322,-0.035,265,7.92,48,106.4,56,98.5,27,-2.98,247
175,1317,SB,24-9,-0.47,103.4,164,103.8,199,67.4,99,0.113,8,-5.87,275,99.9,261,105.7,294,-2.96,245
176,1389,MAAC,16-14,-0.49,92.8,304,93.3,31,64.1,254,-0.015,218,-3.38,232,100.6,238,104,210,-8.13,332
177,1370,ind,17-14,-0.58,100.6,200,101.2,141,77.7,2,0.029,92,-2.93,228,102.2,182,105.2,263,-2.39,228
178,1184,OVC,20-13,-0.6,110.7,52,111.3,318,61.2,323,-0.013,204,-6.28,281,99.7,264,106,307,-5.99,303
179,1363,WAC,14-17,-0.62,109.9,62,110.5,307,66,174,0.003,162,1.93,133,104.9,98,102.9,173,-1.02,181
180,1407,SB,20-13,-0.69,105.1,144,105.8,236,66,175,0.082,18,-1.33,187,103.2,161,104.5,240,8.99,12
181,1395,MWC,13-19,-0.72,105.2,142,105.9,237,63.1,285,-0.001,173,4.86,80,105.1,86,100.2,85,-0.28,153
182,1291,NEC,16-15,-0.83,96.8,266,97.6,79,65.9,178,-0.065,315,-6.81,288,98.6,291,105.4,282,6.94,31
183,1434,Horz,15-17,-0.92,110.7,53,111.6,326,67,116,0.015,125,2.62,121,103.3,156,100.7,92,4.44,60
184,1340,BSky,13-19,-0.94,113.3,27,114.2,343,65.9,177,-0.074,325,1.08,146,104.2,126,103.1,179,6.23,42
185,1352,NEC,23-12,-0.97,99.9,216,100.8,132,66.1,170,0.074,27,-7.18,293,98.1,305,105.3,272,3.47,75
186,1250,Pat,22-11,-0.97,105.6,134,106.6,249,68.9,48,0.018,116,-10.02,326,96.8,322,106.8,330,-8.95,340
187,1346,NEC,23-10,-1.01,103.5,160,104.5,212,67.7,81,-0.023,240,-11.77,338,95,338,106.8,329,-5.63,298
188,1392,AE,22-10,-1.12,102.3,179,103.4,183,65.1,217,0.052,55,-7.82,306,97.8,308,105.6,286,-7.89,330
189,1185,MAC,17-15,-1.19,100.3,207,101.4,146,65.2,209,-0.01,197,-3.23,229,100.5,242,103.8,201,-3.46,256
190,1172,SC,16-15,-1.31,103.6,159,104.9,221,65.2,210,0.012,129,-0.44,168,103.3,155,103.8,200,6.56,38
191,1261,SEC,20-Nov,-1.42,99.7,219,101.2,139,61.2,324,-0.006,185,5.54,72,106,68,100.4,89,-5.27,289
192,1176,SB,19-13,-1.43,106.2,122,107.7,269,58.5,344,0.017,118,-5.78,273,99.5,269,105.3,275,-2.34,227
193,1351,MAAC,17-16,-1.45,103.1,168,104.6,216,67.1,109,0.074,29,0.11,159,101.5,208,101.4,109,-0.16,152
194,1231,B10,21-Oct,-1.64,101.4,190,103,176,67.3,101,-0.046,290,8.25,42,106.8,41,98.6,31,-5.79,300
195,1286,BSky,15-14,-1.78,103.4,161,105.2,227,63.4,277,0.018,117,-1.33,188,104.2,127,105.5,284,2.86,86
196,1141,MAC,15-15,-1.85,101.6,187,103.4,184,63.5,272,-0.016,222,-2.24,206,100.4,245,102.6,162,-1.74,208
197,1154,SC,16-16,-1.96,100.3,206,102.3,165,59.4,338,-0.02,233,-2.33,208,102.1,186,104.4,236,2.94,85
198,1427,Slnd,19-11,-2.1,103.9,153,106,240,62.9,290,0.02,112,-5.66,269,99.6,265,105.3,273,-4.29,271
199,1264,MAAC,20-Nov,-2.38,99.3,227,101.7,154,66.1,164,-0.11,343,-1.18,184,101,224,102.2,143,-3.9,264
200,1132,MAC,14-16,-2.9,101.3,191,104.2,206,63.1,282,0.052,52,0.77,154,102.9,167,102.2,140,-0.33,154
201,1145,MAAC,15-17,-2.93,100.1,208,103.1,178,65.6,193,-0.002,176,-2.12,204,100.1,256,102.2,145,-3.67,259
202,1117,SB,17-14,-2.95,99.1,229,102,157,66.5,144,0.002,166,-5,257,100.8,230,105.8,299,-1.6,201
203,1368,Slnd,19-12,-3.09,100.9,198,104,204,66.5,140,-0.006,186,-6.53,285,99.2,278,105.7,295,-3.88,263
204,1362,WCC,18-Dec,-3.14,100.5,204,103.6,192,66.1,166,0.007,154,3.35,105,106,66,102.7,163,5.11,54
205,1273,ASun,16-17,-3.33,107.8,91,111.2,317,68.1,70,-0.014,210,-2.54,215,100.2,254,102.7,164,10.38,6
206,1194,SB,14-16,-3.36,103.8,154,107.2,260,67.7,84,-0.038,272,-2.84,226,101.5,207,104.4,233,5.41,51
207,1122,OVC,17-15,-3.52,103.7,157,107.2,261,66,173,0.082,19,-1.53,191,102.5,176,104,212,9.04,11
208,1360,WCC,21-Nov,-3.68,98.4,239,102.1,160,62,311,-0.045,287,2.72,114,105.1,87,102.3,151,3.46,76
209,1209,CAA,20-Dec,-3.71,99.8,218,103.5,186,61.6,317,-0.057,305,-0.88,179,101.7,196,102.6,159,-6.38,309
210,1168,BW,16-15,-3.79,102.5,177,106.2,244,67.9,77,0.04,79,-2.55,216,101.4,210,104,211,0.78,132
211,1183,OVC,19-12,-3.9,100,214,103.9,201,63.3,280,0.089,15,-5.26,263,100.3,247,105.6,290,-4.34,275
